name,x,y
LOCKb2014b_000254,471.6845,204.6675
LOCKb2014b_000254,841.0235,211.853
LOCKb2014b_000254,430.699,576.9915
LOCKb2014b_000254,183.9055,597.5835
LOCKb2014b_000254,207.4545,601.523
LOCKb2014b_000255,745.6595,239.474
LOCKb2014b_000255,27.881,272.8385
LOCKb2014b_000255,216.143,588.277
LOCKb2014b_000255,489.4785,203.0505
LOCKb2014b_000255,603.114,294.303
LOCKb2014b_000255,193.283,596.616
LOCKb2014b_000256,314.1735,390.9245
LOCKb2014b_000256,36.6555,269.464
LOCKb2014b_000256,484.634,204.953
LOCKb2014b_000256,859.49,212.295
LOCKb2014b_000256,729.616,596.441
LOCKb2014b_000256,210.9625,597.03
LOCKb2014b_000256,968.399,211.962
LOCKb2014b_000256,561.1035,157.757
LOCKb2014b_000256,559.719,174.178
LOCKb2014b_000256,336.2845,384.076
LOCKb2014b_000256,786.964,173.691
LOCKb2014b_000256,737.127,241.884
LOCKb2014b_000256,497.588,198.958
LOCKb2014b_000256,23.7365,272.574
LOCKb2014b_000257,206.5915,583.64
LOCKb2014b_000257,480.286,205.85
LOCKb2014b_000257,991.6405,210.028
LOCKb2014b_000257,862.528,206.557
LOCKb2014b_000257,48.761,269.566
LOCKb2014b_000257,552.935,182.9215
LOCKb2014b_000257,61.555,262.629
LOCKb2014b_000257,848.0865,214.3545
LOCKb2014b_000257,980.428,214.9835
LOCKb2014b_000257,348.215,306.532
LOCKb2014b_000257,182.842,588.112
LOCKb2014b_000257,492.762,201.581
LOCKb2014b_000257,734.08,591.144
LOCKb2014b_000258,495.68,205.354
LOCKb2014b_000258,553.107,182.137
LOCKb2014b_000258,478.282,207.095
LOCKb2014b_000258,979.774,211.0005
LOCKb2014b_000258,212.777,589.008
LOCKb2014b_000258,64.384,269.357
LOCKb2014b_000258,183.483,595.0545
LOCKb2014b_000258,531.997,181.898
LOCKb2014b_000259,728.4805,593.671
LOCKb2014b_000259,71.464,266.827
LOCKb2014b_000259,994.076,215.833
LOCKb2014b_000259,845.721,213.825
LOCKb2014b_000259,551.44,184.026
LOCKb2014b_000259,494.009,204.387
LOCKb2014b_000259,474.864,207.027
LOCKb2014b_000259,527.778,183.285
LOCKb2014b_000259,977.511,211.5015
LOCKb2014b_000259,65.737,268.755
LOCKb2014b_000259,350.211,313.635
LOCKb2014b_000259,864.87,207.708
LOCKb2014b_000259,321.225,319.037
LOCKb2014b_000259,34.923,274.7665
LOCKb2014b_000260,603.199,300.209
LOCKb2014b_000260,987.9855,211.653
LOCKb2014b_000260,322.517,313.926
LOCKb2014b_000260,968.411,215.079
LOCKb2014b_000260,865.15,211.187
LOCKb2014b_000260,213.615,583.459
LOCKb2014b_000260,538.045,184.424
LOCKb2014b_000260,60.267,267.05
LOCKb2014b_000260,34.621,275.114
LOCKb2014b_000260,559.378,182.765
LOCKb2014b_000260,729.161,239.367
LOCKb2014b_000260,183.1615,593.1505
LOCKb2014b_000260,438.838,581.439
LOCKb2014b_000260,491.9875,205.7025
LOCKb2014b_000260,844.633,214.087
LOCKb2014b_000260,469.552,206.093
LOCKb2014b_000260,345.244,309.185
LOCKb2014b_000260,464.259,575.757
LOCKb2014b_000261,534.178,184.739
LOCKb2014b_000261,474.689,207.179
LOCKb2014b_000261,188.392,600.05
LOCKb2014b_000261,861.757,211.698
